f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,m0,m1,m2,m3
0.074468195,24.218693,0.15639202,23.8779,24.405138,0.4573478,0.06758796,0.26448354,0.61197084,105.63621,2.3272564,102.515686,109.89945,1,1,1,1
0.035591353,24.591442,0.21112707,24.097471,25.049076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
0.00287056,26.284988,0.12967925,26.09193,26.486729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
0.025925031,24.505312,0.18252964,24.203093,24.915823,0.44144025,0.060863085,0.27926937,0.6002642,100.58343,2.1530821,96.22614,103.18786,1,1,1,1
0.0059548817,24.808197,0.12648137,24.573812,24.9612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
0.035083715,24.799068,0.15813765,24.509619,25.089853,0.53966737,0.043025497,0.4590619,0.6011581,99.04348,1.1070195,97.548,100.247314,1,1,1,1
0.03504954,25.375355,0.13453268,25.076553,25.543581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
0.0,24.782167,0.13091311,24.509405,25.00378,0.4765299,0.050249882,0.41097268,0.5967598,103.32693,1.9310602,100.52251,107.08366,0,1,1,1
0.0,0.0,0.0,0.0,0.0,0.42764437,0.023546008,0.35880068,0.49397728,95.4726,1.7352862,91.21462,99.234924,0,0,1,1
0.0,25.442509,0.103319116,25.296999,25.560766,0.48304835,0.06680616,0.38920394,0.59073406,101.188675,1.584095,97.569145,104.57513,0,1,1,1
0.0,25.139606,0.1510926,24.856134,25.437979,0.44882512,0.053585514,0.3907798,0.55535215,104.17556,2.2498097,101.57679,108.4085,0,1,1,1
0.0,0.0,0.0,0.0,0.0,0.46801242,0.03146848,0.39997372,0.5213118,103.17576,1.8444442,98.6793,106.35457,0,0,1,1
0.0,25.502876,0.24983655,25.069145,26.104168,0.4505231,0.0073590744,0.43518358,0.46715447,97.92321,1.5715322,96.300735,101.442566,0,1,1,1
0.27367535,24.96773,0.2383965,24.45447,25.244654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
0.0,0.0,0.0,0.0,0.0,0.4407528,0.030697664,0.3759898,0.4942234,95.89307,2.5869424,92.07549,102.17765,0,0,1,1
0.08021344,25.267643,0.12725082,25.057343,25.584314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
