label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,m0,m1,m2,m3
normal,0.0,24.68283769397098,0.09329033740289235,24.587029706121367,24.78643048828586,0.5306990690729468,0.025217835885926312,0.47037517943904006,0.5919993110655604,94.96150155055031,2.7171782552015618,88.29345406848735,97.81782378290544,0,1,1,1
normal,0.04143019554295432,24.380725288570936,0.16780802198974623,24.080850456093486,24.68827963373396,0.45321020171198206,0.07255459842963567,0.3210627954863561,0.5577789365443299,97.20035031868673,1.4304450302825449,95.12553369585106,98.81715910050131,1,1,1,1
normal,0.08735826805443234,25.641068831062462,0.16154970019286238,25.266312089249706,26.035617467772102,0.4715296642136638,0.03953416449578563,0.42032283975910867,0.5142711230206631,90.88299872742857,2.5584205933985866,84.7709409122198,93.50314529164649,1,1,1,1
normal,0.0,0.0,0.0,0.0,0.0,0.45315765240623707,0.04015460760873004,0.35574436131476805,0.49346163329657655,96.5102983474884,2.909748158609108,91.48757755645073,99.89219667584086,0,0,1,1
normal,0.0,0.0,0.0,0.0,0.0,0.49513643074933045,0.05259805847979662,0.38963031791948677,0.5908834502995607,97.21509743853355,2.718278376310584,92.04915254688488,102.48705064691464,0,0,1,1
normal,0.06825303317042682,25.051081717038738,0.1597909587180646,24.84689599385248,25.436235164467895,0.5014305810215752,0.056867991880763205,0.33633083042219986,0.5895544048098821,95.0246088806726,3.372718681543179,87.4908281270043,102.42052573655153,1,1,1,1
normal,0.0,25.443818631167,0.04713075023023955,25.35034499251311,25.525579928306353,0.4911467478086908,0.06741874605445469,0.3293774138917728,0.5817669676220903,100.89461064006241,2.262516340219347,97.76246769536066,105.78107193138558,0,1,1,1
normal,0.0008406017381993965,25.24567385246097,0.10397691098826932,25.054056748987023,25.37849337246609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
normal,0.0,25.708375827103776,0.1525988113612049,25.482184928769826,26.079936648878153,0.5180099739697789,0.04829555981899393,0.380026121205849,0.6597965116673962,111.25799100730285,1.5987692053719988,109.09152245341231,113.2887845091003,0,1,1,1
normal,0.0,24.389141280260418,0.17490735779204167,24.025103671393378,24.59486990133808,0.48506257553819776,0.05861688677790426,0.35471243314553547,0.5845490163088436,99.41622250064015,3.3725233047589813,91.83917614923833,103.52837969091736,0,1,1,1
normal,0.07187172672013646,25.350979142852438,0.2223339338486347,24.891279260180095,25.683718022814528,0.5358461199299117,0.024019309782909677,0.46517723873994554,0.5927110572443754,105.15250946684145,2.263635229156545,102.01845667240481,107.68433950513557,1,1,1,1
normal,0.0,0.0,0.0,0.0,0.0,0.5269085564005903,0.0727622510758818,0.3346378733732023,0.6985027886987689,94.78674148104375,2.6819646228310345,90.77106493276332,99.21277351857913,0,0,1,1
normal,0.10808820313683698,24.162856040466274,0.14156948890517745,23.958636930390416,24.35053649439242,0.45971098812032857,0.05718485287200174,0.3309381298650744,0.5885386143286798,92.35099676168066,1.2924074243063277,89.87922373465717,95.29049270860958,1,1,1,1
normal,0.0,0.0,0.0,0.0,0.0,0.5141430088911055,0.059237176535843615,0.38925701283078884,0.620729599955781,97.96446494345501,1.5689033338328628,94.86719830835308,101.54111957073754,0,0,1,1
normal,0.0,25.303634344650312,0.13235331500324152,24.973422844428214,25.439940401921447,0.5272745492077832,0.05232013420020924,0.4541386001155004,0.6507700956718452,98.76759559763848,2.2373368708574475,95.87028260223283,103.12579133563342,0,1,1,1
normal,0.0074986634706432,25.777403703700898,0.11513616303837074,25.54562547991068,26.023944316987798,0.4909672837890035,0.03279457969168047,0.40677766590574727,0.5596010055136389,97.34401687886907,2.3517353348827053,92.03541899243653,101.25434534051185,1,1,1,1
normal,0.0,24.946232277212573,0.18206696418067084,24.64334829920033,25.260899583436856,0.4472048555737471,0.05747881819443966,0.38042883697664387,0.6181512720643861,91.98389718698311,2.1039150689074906,89.63814318875431,94.16962008057648,0,1,1,1
normal,0.0,0.0,0.0,0.0,0.0,0.3284841947319325,0.058757316867262335,0.15919273328223704,0.46447291144931074,105.90821069509984,2.556848200814667,99.75269229376447,108.86842941673592,0,0,1,1
normal,0.0,0.0,0.0,0.0,0.0,0.5342382507011139,0.04461892945717168,0.4227501970523977,0.5978609827557643,100.33376580896724,1.959437065364974,96.91172761626574,104.36198596944423,0,0,1,1
normal,0.09716112087166898,25.280779511368333,0.130893299093728,24.96829150759139,25.600582079731993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
normal,0.0,25.411765086034404,0.12977687355648343,25.195440827754947,25.693073134463102,0.44159915143786554,0.018619596674883554,0.4065388702247663,0.4726042183998991,104.58381468445228,1.6218074183656288,101.98394132653786,106.8627581268552,0,1,1,1
normal,0.0,0.0,0.0,0.0,0.0,0.5127738670275033,0.06458702140299916,0.36723569261204797,0.681511999218519,91.50690112574156,2.2909350423312076,87.90096288178633,96.03217207713037,0,0,1,1
normal,0.0,23.99882463495946,0.16136763609042848,23.739989652053154,24.356571737734342,0.4996384385430503,0.02602861272043159,0.44296094807476083,0.5567180119160439,100.62308765777532,3.333975560626004,92.81201260949194,107.4684120827122,0,1,1,1
normal,0.0006194072200086227,24.934836559027254,0.14147124696400937,24.639289602731257,25.210686785969372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
normal,0.04105431474138386,24.514096840811643,0.20866391941803641,24.123388275799513,25.028039935014792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
normal,0.024345655904898945,24.446011082027482,0.23296921197526488,24.146082980289783,24.870379896748194,0.5230837519092789,0.005732250067485907,0.5119561196036325,0.5400406736218824,104.32624413837397,1.2712363893111638,102.16228581674966,107.27713753129491,1,1,1,1
normal,0.0,25.968381092586505,0.22844504915104275,25.556654483513864,26.524261139580943,0.46091900308639794,0.06288949363913834,0.3686024984138677,0.6195338495479312,99.99391011928529,3.479145721055331,94.61789179015719,105.3768411807095,0,1,1,1
